country,year,child_mortality,gdp_per_capita_usd,health_exp_pc_usd,life_expectancy_years,urban_population_pct
FRA,2020.0,4.2,39169.8606000707,4747.51367188,82.1756097560976,80.975
FRA,2021.0,4.3,43725.0999521245,5376.74560547,82.3243902439024,81.242
FRA,2022.0,4.3,41082.8119320747,4865.17822266,82.1292682926829,81.509
FRA,2023.0,4.3,44690.9345395117,,82.9292682926829,81.777
GBR,2000.0,6.5,28280.926786099,2027.64416504,77.7414634146342,78.651
GBR,2001.0,6.4,27906.5695029641,2083.99023438,77.9926829268293,78.751
GBR,2002.0,6.3,30077.741432188,2374.82177734,78.1439024390244,79.047
GBR,2003.0,6.3,34442.6875402308,2789.35131836,78.4463414634146,79.339
GBR,2004.0,6.1,40366.8886650968,3377.11694336,78.7463414634146,79.629
GBR,2005.0,6.0,42104.7884375024,3547.28979492,79.0487804878049,79.915
GBR,2006.0,5.9,44512.4590296865,3817.99072266,79.2487804878049,80.199
GBR,2007.0,5.8,50397.6854954706,4431.63769531,79.4487804878049,80.479
GBR,2008.0,5.6,47396.1202078484,4301.41552734,79.6,80.757
GBR,2009.0,5.4,38744.131693043,3829.68286133,80.0512195121951,81.031
GBR,2010.0,5.2,39598.957119545,3892.38012695,80.4024390243902,81.302
GBR,2011.0,5.0,42109.6418795749,4140.36230469,80.9512195121951,81.57
GBR,2012.0,4.8,42490.1465463521,4217.24755859,80.9048780487805,81.837
GBR,2013.0,4.6,43419.0352598932,4348.28662109,81.0048780487805,82.102
GBR,2014.0,4.5,47426.6209829995,4716.30224609,81.3048780487805,82.365
GBR,2015.0,4.5,44983.885522934,4440.73828125,80.9560975609756,82.626
GBR,2016.0,4.4,40988.1044233026,4016.63916016,81.1560975609756,82.886
GBR,2017.0,4.4,40629.2340347345,3907.82226563,81.2560975609756,83.143
GBR,2018.0,4.4,43315.4874501318,4219.48632813,81.2560975609756,83.398
GBR,2019.0,4.4,42794.0022648288,4258.63476563,81.3691219512195,83.652
GBR,2020.0,4.4,40404.8062238951,4816.15283203,80.331756097561,83.903
GBR,2021.0,4.4,46926.475736105,5612.04931641,80.6473170731707,84.152
GBR,2022.0,4.5,46062.9914079698,5035.6171875,81.0112195121951,84.398
GBR,2023.0,4.5,49200.8101526146,5366.77685547,81.2380975609756,84.642
IND,2000.0,91.6,442.750218937263,18.47883415,62.749,27.667
IND,2001.0,88.0,450.357900514128,19.74444199,63.158,27.918
IND,2002.0,84.5,469.149928973927,20.15651703,63.649,28.244
IND,2003.0,81.1,544.143133545002,21.89380074,64.086,28.572
IND,2004.0,77.7,624.258826510066,24.9240799,64.484,28.903
IND,2005.0,74.4,710.488080408949,27.49770737,64.939,29.235
IND,2006.0,71.1,801.668353659022,29.37600899,65.373,29.569
IND,2007.0,67.9,1021.88707706826,35.63138962,65.803,29.906
IND,2008.0,64.6,992.519584923828,37.65440369,66.247,30.246
IND,2009.0,61.4,1094.94974598436,38.05965042,66.7,30.587
IND,2010.0,58.2,1347.51939071367,44.79586029,67.162,30.93
IND,2011.0,55.0,1445.46127486037,48.18242264,67.623,31.276
IND,2012.0,52.0,1429.32199520032,48.45263672,68.076,31.634
IND,2013.0,49.1,1432.84397512195,55.46933746,68.499,32.003
IND,2014.0,46.3,1553.88396075118,56.3490181,68.932,32.384
IND,2015.0,43.6,1583.99815907985,58.12401581,69.326,32.777
IND,2016.0,41.1,1707.50892912243,59.72652817,69.709,33.182
IND,2017.0,38.7,1950.10468280866,56.66844559,70.068,33.6
IND,2018.0,36.4,1966.25455171679,57.46551132,70.415,34.03
