year,indicator,BRA,CHN,DEU,FRA,GBR,IND,ITA,JPN,NGA,USA
2006.0,child_mortality,23.1,21.9,4.6,4.5,5.9,71.1,4.3,3.6,149.6,7.9
2006.0,gdp_per_capita_usd,5934.14470924968,2129.25696999613,36980.3349948954,36431.5658906555,44512.4590296865,801.668353659022,33537.1286994269,35991.546002862,1599.53891556365,46301.9876485519
2006.0,health_exp_pc_usd,489.53884888,82.48256683,3698.04370117,3811.55175781,3817.99072266,29.37600899,2832.69775391,2763.53344727,63.63072205,6802.47509766
2006.0,life_expectancy_years,72.296,74.404,79.1317073170732,80.8121951219512,79.2487804878049,65.373,81.2829268292683,82.3219512195122,49.876,77.6878048780488
2006.0,urban_population_pct,83.143,43.868,76.179,77.377,80.199,29.569,67.856,87.118,39.943,80.099
2007.0,child_mortality,21.7,20.1,4.5,4.4,5.8,67.9,4.2,3.5,145.2,7.7
2007.0,gdp_per_capita_usd,7409.69130673473,2734.72709877693,42350.9217211489,41486.1907828787,50397.6854954706,1021.88707706826,37826.1754554823,35779.0245416427,1815.52697545827,48050.227412195
2007.0,health_exp_pc_usd,607.73022461,98.5569458,4182.91601563,4312.31054688,4431.63769531,35.63138962,3092.58227539,2781.49365234,66.90659332,7153.73144531
2007.0,life_expectancy_years,72.73,74.789,79.5341463414634,81.1121951219512,79.4487804878049,65.803,81.4341463414634,82.5070731707317,50.381,77.9878048780488
2007.0,urban_population_pct,83.448,45.199,76.378,77.621,80.479,29.906,67.974,88.146,40.819,80.269
2008.0,child_mortality,20.5,18.5,4.4,4.4,5.6,64.6,4.1,3.4,141.3,7.6
2008.0,gdp_per_capita_usd,8908.33176538648,3523.44302065213,46386.3295924799,45464.8181385158,47396.1202078484,992.519584923828,40828.5795580937,39876.3039685725,2154.10543545364,48570.0594269601
2008.0,health_exp_pc_usd,713.67193604,133.83999634,4669.76025391,4807.37451172,4301.41552734,37.65440369,3504.11157227,3223.29101563,77.45053101,7364.93847656
2008.0,life_expectancy_years,73.111,74.833,79.7365853658537,81.2146341463415,79.6,66.247,81.4853658536585,82.5875609756098,50.748,78.0390243902439
2008.0,urban_population_pct,83.749,46.539,76.575,77.868,80.757,30.246,68.092,89.103,41.702,80.438
2009.0,child_mortality,19.5,17.1,4.3,4.3,5.4,61.4,4.1,3.4,138.0,7.5
2009.0,gdp_per_capita_usd,8678.6592244676,3898.24459158811,42487.2137101496,41728.0884164132,38744.131693043,1094.94974598436,37099.6133958219,41308.9968370512,1820.48633854782,47194.9500893872
2009.0,health_exp_pc_usd,728.55639648,164.87619019,4674.91943359,4737.578125,3829.68286133,38.05965042,3337.75073242,3696.58422852,65.71811676,7614.82421875
2009.0,life_expectancy_years,73.457,75.317,79.8365853658537,81.4146341463415,80.0512195121951,66.7,81.6365853658537,82.9314634146342,51.08,78.390243902439
2009.0,urban_population_pct,84.044,47.88,76.771,78.117,81.031,30.587,68.209,89.989,42.588,80.606
2010.0,child_mortality,18.6,15.8,4.2,4.2,5.2,58.2,4.0,3.3,135.1,7.3
2010.0,gdp_per_capita_usd,11403.2821278747,4629.24551710077,42409.9356994694,40694.8211697025,39598.957119545,1347.51939071367,35856.8625485539,44968.1562349739,2202.25672957344,48642.6312088213
2010.0,health_exp_pc_usd,906.0098877,188.87156677,4611.421875,4592.38330078,3892.38012695,44.79586029,3217.68286133,4071.80200195,73.008255,7836.08837891
2010.0,life_expectancy_years,73.779,75.668,79.9878048780488,81.6634146341463,80.4024390243902,67.162,82.0365853658537,82.8426829268293,51.315,78.5414634146342
2010.0,urban_population_pct,84.335,49.226,76.966,78.369,81.302,30.93,68.327,90.812,43.48,80.772
2011.0,child_mortality,17.9,14.6,4.1,4.2,5.0,55.0,3.9,3.3,132.9,7.2
2011.0,gdp_per_capita_usd,13396.6243562986,5703.76027973346,47646.582043143,43929.7840873812,42109.6418795749,1445.46127486037,38432.3742820019,48760.0789494211,2418.41316975875,50024.8812320773
2011.0,health_exp_pc_usd,1043.3548584,239.19824219,5037.49169922,4931.87792969,4140.36230469,48.18242264,3391.98925781,5103.34326172,80.2377243,8015.78076172
2011.0,life_expectancy_years,74.047,75.889,80.4365853658537,82.1146341463415,80.9512195121951,67.623,82.1878048780488,82.5912195121951,51.49,78.6414634146341
2011.0,urban_population_pct,84.631,50.511,77.16,78.622,81.57,31.276,68.444,91.069,44.366,80.944
