country,year,child_mortality,gdp_per_capita_usd,health_exp_pc_usd,life_expectancy_years,urban_population_pct
BRA,2000.0,0.21047093908258022,-1.146288937199311,-0.9583277204304768,-0.6044778683976079,0.6558751387549412
BRA,2001.0,0.15488776121750314,-1.1761986940833689,-0.9742412512244562,-0.5620431433814471,0.6749598078259771
BRA,2002.0,0.10413790316678048,-1.1924315167814261,-0.9829497849812152,-0.5174652504351777,0.6922470288404607
BRA,2003.0,0.05580470502323514,-1.1805404139793572,-0.9811797419050994,-0.46517195294051505,0.7093227853777035
BRA,2004.0,0.01230482669404431,-1.1514942434197237,-0.9644292870439357,-0.414057397807412,0.7261342113183941
BRA,2005.0,-0.028778391727969217,-1.0925138104977286,-0.930528958823023,-0.36358579305334326,0.7426813066625331
BRA,2006.0,-0.06502829033562822,-1.0364518761177237,-0.8923618808867028,-0.31386429707481023,0.7590169375294304
BRA,2007.0,-0.09886152903611002,-0.9616825661080826,-0.8479654196691024,-0.2673575529914425,0.7751411039190862
BRA,2008.0,-0.12786144792223722,-0.8857430375043046,-0.8081703241828392,-0.22653020392286363,0.791053805831501
BRA,2009.0,-0.15202804699400987,-0.8973810687545103,-0.8025792447441925,-0.18945339873197692,0.8066493110280537
BRA,2010.0,-0.17377798615860526,-0.7593182147101617,-0.7359220373784542,-0.15494839505721972,0.8220333517473648
BRA,2011.0,-0.1906946055088462,-0.6583110196230236,-0.6843308732393328,-0.12622994479375738,0.8376817230632281
BRA,2012.0,-0.20761122485908706,-0.7026443494334943,-0.7123631897212771,-0.09536832660018633,0.8531186299018498
BRA,2013.0,-0.2196945243949734,-0.7058280957704101,-0.7029467350250774,-0.06600692595769123,0.8682383400246094
BRA,2014.0,-0.22936116402368242,-0.715146588416218,-0.689098446497117,-0.04307502910552374,0.8831994517894379
BRA,2015.0,-0.23661114374521425,-0.884331061941302,-0.7771879760298731,-0.0127492028944795,0.8978962329577141
BRA,2016.0,-0.2172778644877961,-0.8893937339622532,-0.7719111536464963,-0.015428162807114992,0.9122758174101291
BRA,2017.0,-0.25111110318827784,-0.8263461304393626,-0.7176136463340204,0.016933672937531983,0.9263910712659919
BRA,2018.0,-0.25594442300263237,-0.8658627878657611,-0.7455853903213489,0.04372327206389604,0.9401362622866826
BRA,2019.0,-0.2607777428169869,-0.8795862794309842,-0.7501349759759709,0.06258314984885655,0.953617122710821
BRA,2020.0,-0.26319440272416417,-0.9786829904757021,-0.8205299325255518,-0.07704424079775263,0.9667807864190974
BRA,2021.0,-0.26802772253851875,-0.9331619094106336,-0.7876612625181991,-0.23435276686776274,0.9796801195308222
BRA,2022.0,-0.27044438244569596,-0.8668421971351798,-0.7574978351951711,-0.03782426767675568,0.9922622559266858
BRA,2023.0,-0.2752777022600505,-0.8112924096991767,,0.0667623273125695,1.0045800617259963
CHN,2000.0,0.26363745704048014,-1.2880369681371373,-1.060168286051497,-0.31472156424685493,-1.7397530577934743
CHN,2001.0,0.20322095936104848,-1.2831619673759784,-1.0595851382555164,-0.2732512647992433,-1.6754678567120913
CHN,2002.0,0.1379711418672622,-1.2781883006456813,-1.057495299877496,-0.23478140045378357,-1.6050501857907082
CHN,2003.0,0.0751379842806532,-1.2709212432011174,-1.0550083399754606,-0.19716880328036854,-1.5336280586024278
CHN,2004.0,0.014721486601221525,-1.259572942509428,-1.0521021428293216,-0.16052063167550262,-1.4613072073858722
CHN,2005.0,-0.043278351171032854,-1.247071193878955,-1.0488261958422094,-0.12215792572655039,-1.3884576949762126
CHN,2006.0,-0.0940282092217555,-1.229254212155785,-1.0452652406098122,-0.08797439724130958,-1.3172998983844841
CHN,2007.0,-0.13752808755094625,-1.1985736603944588,-1.0392271897103211,-0.04671841458670838,-1.2469350935824113
CHN,2008.0,-0.17619464606578256,-1.1586076265377583,-1.0259737473566575,-0.04200344514046864,-1.176094493706545
CHN,2009.0,-0.21002788476626427,-1.1396155764749702,-1.014315560216581,0.009861218768171606,-1.1052010277113682
CHN,2010.0,-0.24144446355956875,-1.1025740930611978,-1.0053021292521314,0.047473815941588164,-1.0340432311196401
CHN,2011.0,-0.27044438244569596,-1.0481259803861027,-0.9863978202050909,0.07115582156929286,-0.9661102678058429
CHN,2012.0,-0.29702764142464594,-1.0125896552791902,-0.9693068055640964,0.1044820828824905,-0.8998161541906667
CHN,2013.0,-0.3211942404964186,-0.9749919505313943,-0.9526332069230332,0.13148599880186496,-0.8338392372913526
CHN,2014.0,-0.34536083956819125,-0.9428641650238023,-0.9401617618606403,0.15956149868629455,-0.767968052630659
CHN,2015.0,-0.3646941188256094,-0.9228857635807348,-0.928588266161869,0.18752984017421817,-0.7023611985665172
CHN,2016.0,-0.38402739808302755,-0.9188555061881832,-0.9266811038842809,0.21314069693902266,-0.6370186750989274
CHN,2017.0,-0.4009440174332684,-0.8821278357783092,-0.9109927711597927,0.21539102326563733,-0.5723105450630613
CHN,2018.0,-0.415443976876332,-0.8260849385035368,-0.8868885647314491,0.266184103209224,-0.5092941308451265
CHN,2019.0,-0.42994393631939565,-0.8130501463008575,-0.8737858543434539,0.2909376928019838,-0.4481808969223644
CHN,2020.0,-0.442027235855282,-0.79863069812784,-0.8572733161728666,0.29940320612591564,-0.3889708432947749
CHN,2021.0,-0.4541105353911683,-0.6841127684424914,-0.8244776220283139,0.30990472898345023,-0.3316639699623576
CHN,2022.0,-0.4637771750198773,-0.6798983591323339,-0.8236540012120818,0.31901319268641337,-0.27626027692511285
CHN,2023.0,-0.4734438146485864,-0.6808827898680275,,0.2923307519565553,-0.22286549642166192
DEU,2000.0,-0.4927770939060046,-0.1247708484483199,-0.1956126124267936,0.28952633831142693,0.32667781380940525
DEU,2001.0,-0.49761041372035913,-0.12717736840559585,-0.194764322419357,0.3326510588562999,0.3375153682680265
DEU,2002.0,-0.5000270736275363,-0.04568468518055085,-0.11181210595222771,0.3219352192057549,0.34830005660733715
DEU,2003.0,-0.5024437335347136,0.2190530484318136,0.1080420124590498,0.3381396596529296,0.35903187882733795
DEU,2004.0,-0.5072770533490681,0.4144267961276062,0.223372587309549,0.3702871786045661,0.3697108349280281
DEU,2005.0,-0.5096937132562455,0.4406598576760581,0.26033042784097815,0.39720745870227664,0.38033692490940846
DEU,2006.0,-0.5121103731634227,0.5367293640018509,0.31285516952299663,0.41863913800336666,0.39085728265216757
DEU,2007.0,-0.5145270330706,0.8088692371534879,0.494988720058761,0.4617638585482412,0.4013776403949267
DEU,2008.0,-0.5169436929777773,1.0133525538180774,0.6778629882556739,0.4834568997920349,0.41179226589906537
DEU,2009.0,-0.5193603528849545,0.815775462951299,0.6798009411660538,0.4941727394425799,0.42215402528389345
DEU,2010.0,-0.5217770127921318,0.8118596099736133,0.6559492271138103,0.5103771798897454,0.432462918549411
DEU,2011.0,-0.524193672699309,1.0772124185859153,0.8159946814470032,0.5584677773458545,0.4427189456956186
DEU,2012.0,-0.5266103326064863,0.9297057257612328,0.7138930287834411,0.569444978939091,0.44324760688872233
DEU,2013.0,-0.5266103326064863,1.0555970513066968,0.8395320238086073,0.5642177400851649,0.4437762680818261
DEU,2014.0,-0.5266103326064863,1.144327874892979,0.9180400259968547,0.6285127779884381,0.4443049292749291
DEU,2015.0,-0.5290269925136636,0.7865779572604182,0.6619044980918037,0.580422180532329,0.44483359046803284
DEU,2016.0,-0.5290269925136636,0.8397851029073524,0.7067923370295524,0.6177969383378931,0.4461023773314812
DEU,2017.0,-0.5314436524208408,0.9697880932308021,0.826489817133255,0.6180583002805952,0.4480584237459637
DEU,2018.0,-0.5314436524208408,1.1394520376659723,0.9926112288884383,0.6073424606300486,0.4507545958307915
DEU,2019.0,-0.5338603123280181,1.0760613250026434,0.9854226818013695,0.6502058192322316,0.45413802746665416
DEU,2020.0,-0.5338603123280181,1.0636922005850762,1.1520758109065588,0.6232855391345211,0.4582087186535509
DEU,2021.0,-0.5338603123280181,1.311271333299029,1.4172749277912187,0.5963652590368015,0.4630195355107922
DEU,2022.0,-0.5338603123280181,1.1805602264082453,1.2460377311908017,0.5768415219173952,0.4685176119190684
DEU,2023.0,-0.5338603123280181,1.3961348951272636,1.264912321425847,0.5697063408817931,0.4747029478783793
FRA,2000.0,-0.4927770939060046,-0.20509968998469158,-0.2641871844752696,0.41053691777978013,0.3745745179045801
FRA,2001.0,-0.49761041372035913,-0.20554556131921234,-0.25259422395895,0.42151411937302724,0.3881082444480291
FRA,2002.0,-0.5000270736275363,-0.11368797403874034,-0.1560407547745013,0.4324913209662652,0.40148337263354716
FRA,2003.0,-0.5048603934418909,0.156646080027473,0.05301632841755531,0.4168096044044947,0.41480563469975534
FRA,2004.0,-0.5072770533490681,0.36771669884223523,0.22292276433990188,0.5291952397638678,0.42807503064665214
FRA,2005.0,-0.5121103731634227,0.4209957435991892,0.26664546548489115,0.5291952397638678,0.4411329621163081
FRA,2006.0,-0.5145270330706,0.5089219824196224,0.3554924262887947,0.5987175165210685,0.45419089358596404
FRA,2007.0,-0.5169436929777773,0.7650513491188761,0.5435934448360871,0.6308650354727051,0.4670902266976889
FRA,2008.0,-0.5169436929777773,0.9666574676064237,0.7295553052467835,0.6418422370659521,0.48014815816734485
FRA,2009.0,-0.5193603528849545,0.7773088536823827,0.7033375498733129,0.6632739163670437,0.493311821875622
FRA,2010.0,-0.5217770127921318,0.7249508466741336,0.6487977296650664,0.6899328345220521,0.5066340839418294
FRA,2011.0,-0.5217770127921318,0.8888737927023169,0.7763227714279963,0.7382847939208634,0.5200092121273474
FRA,2012.0,-0.524193672699309,0.7335023143681418,0.6684103780642604,0.7226030773590822,0.5335429386707965
FRA,2013.0,-0.524193672699309,0.8249960849311672,0.7586071746080336,0.7495233574568019,0.5471295313335562
FRA,2014.0,-0.524193672699309,0.8492613380215657,0.7924256084523438,0.80310255570953,0.5608218562349363
FRA,2015.0,-0.5217770127921318,0.5226474046119272,0.5009285842541921,0.7605005590500399,0.5746199133749369
FRA,2016.0,-0.5217770127921318,0.5389529000449916,0.5255012989582333,0.7874208391477489,0.588470836634248
FRA,2017.0,-0.5217770127921318,0.6232182119995565,0.5828400176593089,0.7876822010904525,0.6023746260128698
FRA,2018.0,-0.5217770127921318,0.7616049178721553,0.6771858235599171,0.7983980407409975,0.6163312815108015
FRA,2019.0,-0.5217770127921318,0.7104313984950886,0.6173864218904747,0.8146024811881615,0.6303408031280437
FRA,2020.0,-0.5217770127921318,0.6476776180430505,0.7070696590818667,0.7448188424882694,0.6444031908645959
FRA,2021.0,-0.5193603528849545,0.8785019809349705,0.9434293000790331,0.7607619209927313,0.6585184447204593
FRA,2022.0,-0.5193603528849545,0.7446112231353911,0.7512682279971167,0.7398529655770333,0.6726336985763219
FRA,2023.0,-0.5193603528849545,0.9274430213639688,,0.8255796827813995,0.6868018185514952
GBR,2000.0,-0.46619383492705463,0.09591051736389929,-0.3146003259871491,0.2696628306665159,0.5215423295873474
GBR,2001.0,-0.46861049483423195,0.0769409803768683,-0.293434940046197,0.29658311076422644,0.5268289415183826
GBR,2002.0,-0.47102715474140916,0.18695921181534841,-0.1841893099134638,0.31278755121139046,0.5424773128342452
GBR,2003.0,-0.47102715474140916,0.40814098220734363,-0.028478755080039334,0.34519643210571843,0.5579142196728668
GBR,2004.0,-0.4758604745557637,0.7083337590532525,0.1923048140609327,0.377343951057355,0.573245394272868
GBR,2005.0,-0.47827713446294096,0.7963971025424746,0.2562271802903523,0.40975283195169515,0.5883651043956276
GBR,2006.0,-0.4806937943701183,0.9183992603970204,0.35791110744449556,0.43118451125278523,0.603379082279766
GBR,2007.0,-0.4831104542772955,1.2166171024137742,0.5884165386088639,0.45261619055387675,0.6181815956866635
GBR,2008.0,-0.48794377409165,1.0645209463947667,0.5395009270065493,0.46882063100104077,0.6328783768549405
GBR,2009.0,-0.4927770939060046,0.6261049637575985,0.36230304871607605,0.5171725903998429,0.6473636935459759
GBR,2010.0,-0.49761041372035913,0.669420916928572,0.3858541471304537,0.5548087101480984,0.6616904118790803
GBR,2011.0,-0.5024437335347136,0.7966430375170468,0.4790041850980333,0.6136151472547525,0.6758585318542527
GBR,2012.0,-0.5072770533490681,0.8159240764478882,0.5078847457302612,0.6086492703435286,0.6899737857101161
GBR,2013.0,-0.5121103731634227,0.8629929852208046,0.5571072090473987,0.6193651099940736,0.7039833073273584
GBR,2014.0,-0.5145270330706,1.0660664902065948,0.6953456492201215,0.6515126289457102,0.7178870967059795
GBR,2015.0,-0.5145270330706,0.9422875155564696,0.5918350097811231,0.6141378711401475,0.7316851538459808
GBR,2016.0,-0.5169436929777773,0.7398121777540446,0.43252981457886963,0.6355695504412375,0.7454303448666708
GBR,2017.0,-0.5169436929777773,0.7216273970213575,0.3916547083540541,0.6462853900917841,0.7590169375294304
GBR,2018.0,-0.5169436929777773,0.8577459816344282,0.5087256991792237,0.6462853900917841,0.7724977979535689
GBR,2019.0,-0.5169436929777773,0.8313211384259439,0.5234311045141177,0.6583969025163267,0.7859257922583975
GBR,2020.0,-0.5169436929777773,0.7102551282010865,0.7328527231403608,0.5472344410487681,0.7991951882052951
GBR,2021.0,-0.5169436929777773,1.0407229903275392,1.0318169003805118,0.5810494491948008,0.8123588519135715
GBR,2022.0,-0.5145270330706,0.9969682708704592,0.8152905548864577,0.6200446510450801,0.8253639172639169
GBR,2023.0,-0.5145270330706,1.1559687001841032,0.9396847187165656,0.6443565389546858,0.8382632503756418
IND,2000.0,1.5903837460808,-1.3147133540888138,-1.0693070898408472,-1.3369055085124013,-2.1737838973314307
IND,2001.0,1.5033839894224181,-1.3143278555195077,-1.0688316870541532,-1.2930777243416698,-2.1605145013845335
IND,2002.0,1.418800892671214,-1.3133756205958425,-1.068676898488413,-1.2404629516574908,-2.14328014648936
IND,2003.0,1.3366344558271865,-1.309575543952551,-1.0680243191578263,-1.1936347323846066,-2.125940059355566
IND,2004.0,1.2544680189831598,-1.3055158991442122,-1.0668860493782042,-1.1509856905754354,-2.1084413738638412
IND,2005.0,1.17471824204631,-1.30114646626581,-1.0659193125798998,-1.1022286201654532,-2.0908898222528056
IND,2006.0,1.09496846510946,-1.2965261539496702,-1.0652137624116895,-1.055721876082084,-2.073232538403149
IND,2007.0,1.0176353480797877,-1.2853671691852602,-1.062864041361183,-1.0096437655847386,-2.055416656195562
IND,2008.0,0.9378855711429376,-1.2868552869635095,-1.062104132567951,-0.9620654375363156,-2.037442175630044
IND,2009.0,0.8605524541132651,-1.2816649171847943,-1.0619519089338587,-0.9135226839193437,-2.019414828945215
IND,2010.0,0.7832193370835926,-1.2688666374842563,-1.059421573040906,-0.8640155047338225,-2.0012817500217657
IND,2011.0,0.70588622005392,-1.263903698929029,-1.058149471898973,-0.8146154839448073,-1.9829900727403855
IND,2012.0,0.633386422838602,-1.2647215130233391,-1.0580479708474024,-0.7660727303278368,-1.9640640020272808
IND,2013.0,0.5633032855304613,-1.2645430462713865,-1.0554122736118396,-0.7207447286060287,-1.9445564040017624
IND,2014.0,0.4956368081294977,-1.2584096742555522,-1.0550818374258115,-0.6743451429191654,-1.9244144125445197
IND,2015.0,0.43038699063571156,-1.256883719172625,-1.0544150915104973,-0.6321247346960166,-1.9036380276555531
IND,2016.0,0.3699704929562799,-1.2506251468777323,-1.0538131366097947,-0.5910830688344259,-1.882227249334862
IND,2017.0,0.3119706551840255,-1.2383322669745804,-1.054961850243295,-0.5526132044889676,-1.8601292114631367
IND,2018.0,0.25638747731894823,-1.2375139162989288,-1.05466244686,-0.5154292409015734,-1.837396780159687
IND,2019.0,0.2056376192682256,-1.233704674018303,-1.05345071187052,-0.47995981165826856,-1.8140299554245134
IND,2020.0,0.15972108103185756,-1.240514325119763,-1.0522713666543237,-0.5431832655964866,-1.7900287372576154
IND,2021.0,0.11622120270266682,-1.223662177777582,-1.0478694422152024,-0.8511564971531688,-1.765340259539683
IND,2022.0,0.07997130409500781,-1.2181979603237163,-1.0463799166063121,-0.3779450181850744,-1.7400173883900263
IND,2023.0,0.046138065394526015,-1.2089415526983702,,-0.34526170725090954,-1.7140072576893353
ITA,2000.0,-0.48794377409165,-0.314075007808736,-0.5036951735944218,0.4879000528178653,-0.08266454801061919
ITA,2001.0,-0.4951937538131818,-0.29479749762448676,-0.4802433021818647,0.5252748106234294,-0.07949258085199819
ITA,2002.0,-0.5000270736275363,-0.19948507539830496,-0.41418283244772675,0.5362520122166674,-0.07420596892096294
ITA,2003.0,-0.5072770533490681,0.060269827137428775,-0.26374671561730156,0.5098544560043503,-0.06791490072303155
ITA,2004.0,-0.5121103731634227,0.2513357464150018,-0.11251659933994589,0.5953198112660251,-0.06162383252510017
ITA,2005.0,-0.5145270330706,0.28754279541276057,-0.07047406265254326,0.5955811732087165,-0.05538563044647937
ITA,2006.0,-0.5193603528849545,0.36225425127289496,-0.012196447399544886,0.6491603714614447,-0.049147428367858584
ITA,2007.0,-0.5217770127921318,0.5795900284662006,0.08542449158756939,0.6653648119086086,-0.042909226289237046
ITA,2008.0,-0.524193672699309,0.7317286891530205,0.24000805875558992,0.6708534127052261,-0.03667102421061625
ITA,2009.0,-0.524193672699309,0.5427734725047803,0.17751760605622927,0.6870578531524023,-0.03048568825130531
ITA,2010.0,-0.5266103326064863,0.47980045388069953,0.13241627315945026,0.7299212117545839,-0.02424748617268452
ITA,2011.0,-0.5290269925136636,0.6103075050032193,0.19789133107723125,0.7461256522017479,-0.018062150213373578
ITA,2012.0,-0.5314436524208408,0.429003134966764,0.08306587853912199,0.7516142529983668,-0.005374281578890349
ITA,2013.0,-0.5338603123280181,0.47193672674582055,0.1067079503251583,0.7999662123971674,0.01022122361766238
ITA,2014.0,-0.5362769722351953,0.4884900837082538,0.10859858241384654,0.8428295709993505,0.02571099657559466
ITA,2015.0,-0.5386936321423726,0.2154442053534404,-0.07118048188667309,0.7842844958353969,0.04120076953352619
ITA,2016.0,-0.54111029204955,0.25353386459373817,-0.062142295752613624,0.8592953733892166,0.05653194413352741
ITA,2017.0,-0.5435269519567272,0.32713770068154857,-0.02082708750075871,0.8274092163802821,0.07181025261421804
ITA,2018.0,-0.5459436118639045,0.4315222185874424,0.05168483408138366,0.8702725749824546,0.08735289169146017
ITA,2019.0,-0.5483602717710817,0.3762225732049847,0.017083680755746383,0.8864770154296292,0.10310699524594394
ITA,2020.0,-0.550776931678259,0.2890002735040074,0.07397376867172907,0.7469097380298343,0.11912542939697922
ITA,2021.0,-0.5531935915854362,0.5302538290499457,0.20084695688141466,0.7952616974286348,0.13535532802525616
ITA,2022.0,-0.5556102514926134,0.46951609218442303,0.10123799293965402,0.801011660167956,0.151796691130774
ITA,2023.0,-0.5556102514926134,0.642385599547117,0.13645514237227746,0.9081700566734122,0.16850238483284405
JPN,2000.0,-0.5145270330706,0.6476522297147532,-0.04274029840186376,0.6269968787208012,0.5214365973487269
JPN,2001.0,-0.5193603528849545,0.4062911867616801,-0.14143109157577674,0.6634568697269233,0.5923300633439031
JPN,2002.0,-0.524193672699309,0.3259559208970767,-0.17009201387881046,0.6928600882802565,0.6799292230411502
JPN,2003.0,-0.5266103326064863,0.45599334353926374,-0.08073396980969563,0.7002827674528274,0.7618188418528787
JPN,2004.0,-0.5290269925136636,0.6035481213017884,0.007327336884231941,0.7292416707035666,0.8381575181370213
JPN,2005.0,-0.5338603123280181,0.5789170785236367,0.010306531394346102,0.7211917228685238,0.9088923857742665
JPN,2006.0,-0.5362769722351953,0.4866251715585386,-0.038176773277125375,0.7605005590500399,0.9691597617880632
JPN,2007.0,-0.5386936321423726,0.47585622461732296,-0.03143034577405664,0.7803379305006828,1.023506132439101
JPN,2008.0,-0.54111029204955,0.6834747140573642,0.13452287529809573,0.7889628746096644,1.0740990086191038
JPN,2009.0,-0.54111029204955,0.7560725279213693,0.31230694491266725,0.8258149085298335,1.1209383903280725
JPN,2010.0,-0.5435269519567272,0.9414904766762854,0.45325074240508434,0.8163013338156885,1.1644472065204885
JPN,2011.0,-0.5435269519567272,1.1336358453500621,0.8407306346634911,0.7893549175237008,1.1780337991832481
JPN,2012.0,-0.5483602717710817,1.1531548825854328,0.8891944974459908,0.8434568396618224,1.1822102226087654
JPN,2013.0,-0.550776931678259,0.7352792115988562,0.5600629265583751,0.8687305395205512,1.1863337799149727
JPN,2014.0,-0.5531935915854362,0.6124874753364588,0.4718105024155247,0.8961474073093871,1.19045733722118
JPN,2015.0,-0.5556102514926134,0.43438678296223737,0.33394219180639345,0.9182324914672172,1.1945280284080766
JPN,2016.0,-0.5580269113997908,0.6580964753104597,0.499237873485347,0.9386971315803335,1.1985458534756628
JPN,2017.0,-0.560443571306968,0.630661478043355,0.4770812721355305,0.9510072790813272,1.20266941078187
JPN,2018.0,-0.5628602312141453,0.6771320206977011,0.5261148189780491,0.9629253836682738,1.2069515664460084
JPN,2019.0,-0.5628602312141453,0.7108201515373075,0.5882896160841539,0.9785025554529644,1.2112865882294566
JPN,2020.0,-0.5652768911213226,0.691198700005953,0.6090759310228916,1.0003262776681046,1.215727342251526
JPN,2021.0,-0.5652768911213226,0.6945342437072398,0.6075664333430189,0.9880684025556546,1.220220962392906
JPN,2022.0,-0.5652768911213226,0.38903532119208295,0.3847186307107523,0.9399255327110002,1.2248731808922162
JPN,2023.0,-0.5652768911213226,0.37740764086109474,,0.9447345924566126,1.2295253993915272
NGA,2000.0,3.782294281890582,-1.3094146510851776,-1.0698029081846718,-3.0092194443765514,-1.7945752235183052
NGA,2001.0,3.649377986995832,-1.3084463072182924,-1.0695017802786848,-2.9657131353953363,-1.750749210610027
NGA,2002.0,3.511628372286727,-1.301061500422692,-1.0696606741677217,-2.915241530641266,-1.7063945365086448
NGA,2003.0,3.3738787575776232,-1.2984658689707311,-1.062006471748672,-2.8511608095310033,-1.66156406733347
NGA,2004.0,3.2385458027756964,-1.2883774084172648,-1.0601645274966247,-2.794366859383111,-1.616310669203812
NGA,2005.0,3.1104628276953012,-1.275765281020061,-1.0566240501537298,-2.7525750847459842,-1.5707400743582922
NGA,2006.0,2.992046492243615,-1.256096233612154,-1.0523465965081262,-2.7163555467271396,-1.5247994166776
NGA,2007.0,2.885713456327815,-1.245151626212993,-1.0511160744764287,-2.662240556491884,-1.478488696161735
NGA,2008.0,2.791463719947902,-1.2279950837621287,-1.0471554342195266,-2.622913424974382,-1.431807912810698
NGA,2009.0,2.711713943011052,-1.2449003239790106,-1.0515625042872179,-2.58733683733457,-1.3849685311017295
NGA,2010.0,2.641630805702911,-1.2255551479149347,-1.0488240951804275,-2.562154614155788,-1.3378119526768995
NGA,2011.0,2.5884642877450115,-1.2146020083025753,-1.0461084752680705,-2.543401894767333,-1.290972570967931
NGA,2012.0,2.5401310896014664,-1.2037184043965548,-1.0432320700093731,-2.5221845322592524,-1.2444503859748248
NGA,2013.0,2.50146453108663,-1.1915776561868157,-1.0397008851669989,-2.5072895151449948,-1.1983511299362013
NGA,2014.0,2.467631292386148,-1.1806359665242239,-1.0377840334698394,-2.495180616339878,-1.1526748028520608
NGA,2015.0,2.431381393778489,-1.2061235003088082,-1.0413475851569205,-2.4952877747363833,-1.107421404722403
NGA,2016.0,2.3927148352636523,-1.2322359837474124,-1.0478793694999728,-2.4684981756100193,-1.0627495339051591
NGA,2017.0,2.344381637120107,-1.2420700778812628,-1.04983458626111,-2.4462092291368847,-1.0185534581617082
NGA,2018.0,2.281548479533498,-1.2328710740447073,-1.0523572173297455,-2.4170621452874004,-0.9749389097306711
NGA,2019.0,2.216298662039712,-1.222367938586695,-1.0508460517311644,-2.380628290475545,-0.9319587547313585
NGA,2020.0,2.141382204917217,-1.2348078892931802,-1.0507377170698113,-2.373877311495701,-0.8896129931637696
NGA,2021.0,2.0664657477947213,-1.2349286007193658,-1.0454941298871168,-2.3328356456341117,-0.8479544911472153
NGA,2022.0,1.989132630765049,-1.2287415194148592,-1.0420951751179466,-2.265968806214707,-0.8069832486816957
NGA,2023.0,1.9117995137353767,-1.256243282251004,,-2.224927140353117,-0.7666992657672106
USA,2000.0,-0.4202772966906866,0.5037739001775414,0.6323343006061488,0.15126587062512117,0.543005974027349
USA,2001.0,-0.4226939565978638,0.5444966848006261,0.7649776950082756,0.1726975499262112,0.5523632771452801
USA,2002.0,-0.4251106165050411,0.5882837182004343,0.9250952310649142,0.18341338957675773,0.5616148480245916
USA,2003.0,-0.4275272764122183,0.6639151340902233,1.076965737516325,0.19412922922730275,0.5708135527845917
USA,2004.0,-0.4275272764122183,0.7771341752797473,1.2045305801288861,0.24248118862610482,0.5800122575445926
USA,2005.0,-0.42994393631939565,0.8986847345083545,1.338540225831926,0.24248118862610482,0.5890523639466617
USA,2006.0,-0.4323605962265729,1.009078755238543,1.4789789010194656,0.26391286792719487,0.5980924703487315
USA,2007.0,-0.43719391604092744,1.0976660496566286,1.6109220205538703,0.29606038687883296,0.6070797106314908
USA,2008.0,-0.43961057594810465,1.1240071229450996,1.6902581372024814,0.3015489876754504,0.6160140847949394
USA,2009.0,-0.442027235855282,1.054327197869618,1.7841232148652808,0.33918510742370594,0.6248955928390775
